text,intent
Trouve-moi des actions défensives avec faible bêta,screener
Je cherche des actions européennes de santé avec dividendes,screener
Filtre des actions US à faible volatilité et bon momentum,screener
Je veux des valeurs qualité avec faible risque,screener
Montre-moi des actions value avec bon rendement,screener
Je cherche des ETF monde à faible volatilité,screener
Trouve des actions tech rentables avec bon rating,screener
Je veux des actions industrielles avec bêta faible,screener
Montre-moi des actions de consommation défensive,screener
Je cherche des actions US avec bon Sharpe et faible drawdown,screener
Trouve des ETF obligataires avec faible risque,screener
Je veux des actions européennes avec rendement élevé,screener
Montre-moi des actions santé faible volatilité Europe,screener
Je cherche un screener pour des actions momentum US,screener
Donne-moi des small caps avec bon potentiel et risque modéré,screener
Montre-moi des actions européennes avec faible volatilité,screener
Montre-moi des actions européennes avec faible bêta,screener
Montre-moi des actions européennes avec bon rating,screener
Montre-moi des actions européennes avec bon rendement,screener
Montre-moi des actions européennes avec faible risque,screener
Montre-moi des actions européennes avec bon Sharpe,screener
Montre-moi des actions américaines avec faible volatilité,screener
Montre-moi des actions américaines avec faible bêta,screener
Montre-moi des actions américaines avec bon rating,screener
Montre-moi des actions américaines avec bon rendement,screener
Montre-moi des actions américaines avec faible risque,screener
Montre-moi des actions américaines avec bon Sharpe,screener
Montre-moi des ETF US avec faible volatilité,screener
Montre-moi des ETF US avec faible bêta,screener
Montre-moi des ETF US avec bon rating,screener
Montre-moi des ETF US avec bon rendement,screener
Montre-moi des ETF US avec faible risque,screener
Montre-moi des ETF US avec bon Sharpe,screener
Montre-moi des ETF Europe avec faible volatilité,screener
Montre-moi des ETF Europe avec faible bêta,screener
Montre-moi des ETF Europe avec bon rating,screener
Montre-moi des ETF Europe avec bon rendement,screener
Montre-moi des ETF Europe avec faible risque,screener
Montre-moi des ETF Europe avec bon Sharpe,screener
Montre-moi des actions de santé avec faible volatilité,screener
Montre-moi des actions de santé avec faible bêta,screener
Montre-moi des actions de santé avec bon rating,screener
Montre-moi des actions de santé avec bon rendement,screener
Montre-moi des actions de santé avec faible risque,screener
Montre-moi des actions de santé avec bon Sharpe,screener
Montre-moi des actions tech avec faible volatilité,screener
Montre-moi des actions tech avec faible bêta,screener
Montre-moi des actions tech avec bon rating,screener
Montre-moi des actions tech avec bon rendement,screener
Montre-moi des actions tech avec faible risque,screener
Montre-moi des actions tech avec bon Sharpe,screener
Montre-moi des actions industrielles avec faible volatilité,screener
Montre-moi des actions industrielles avec faible bêta,screener
Montre-moi des actions industrielles avec bon rating,screener
Montre-moi des actions industrielles avec bon rendement,screener
Montre-moi des actions industrielles avec faible risque,screener
Montre-moi des actions industrielles avec bon Sharpe,screener
Montre-moi des actions value avec faible volatilité,screener
Montre-moi des actions value avec faible bêta,screener
Montre-moi des actions value avec bon rating,screener
Montre-moi des actions value avec faible risque,screener
Montre-moi des actions value avec bon Sharpe,screener
Montre-moi des actions dividende avec faible volatilité,screener
Montre-moi des actions dividende avec faible bêta,screener
Montre-moi des actions dividende avec bon rating,screener
Montre-moi des actions dividende avec bon rendement,screener
Montre-moi des actions dividende avec faible risque,screener
Montre-moi des actions dividende avec bon Sharpe,screener
Montre-moi des actions quality avec faible volatilité,screener
Montre-moi des actions quality avec faible bêta,screener
Montre-moi des actions quality avec bon rating,screener
Montre-moi des actions quality avec bon rendement,screener
Montre-moi des actions quality avec faible risque,screener
Montre-moi des actions quality avec bon Sharpe,screener
Explique-moi ce qu'est un portefeuille équilibré,chat
Comment fonctionne un screener d’actions ?,chat
Peux-tu m’expliquer comment comparer deux actions sans regarder seulement le prix ?,chat
Quelle est la différence entre rendement et volatilité ?,chat
C'est quoi le ratio de Sharpe ?,chat
Comment lire le bêta d'une action ?,chat
Qu'est-ce qu'un portefeuille diversifié ?,chat
À quoi sert un screener boursier ?,chat
Comment analyser une action sans ticker ?,chat
Quelle différence entre ETF et action ?,chat
Comment interpréter des statistiques de portefeuille ?,chat
Peux-tu expliquer ce qu'est un portefeuille défensif ?,chat
J'aimerais comprendre ce qu'est un portefeuille défensif,chat
C'est quoi un portefeuille défensif ?,chat
Comment définir un portefeuille défensif ?,chat
Tu peux m'expliquer la notion de portefeuille défensif ?,chat
Peux-tu expliquer ce qu'est un portefeuille équilibré ?,chat
J'aimerais comprendre ce qu'est un portefeuille équilibré,chat
C'est quoi un portefeuille équilibré ?,chat
Comment définir un portefeuille équilibré ?,chat
Tu peux m'expliquer la notion de portefeuille équilibré ?,chat
Peux-tu expliquer ce qu'est un portefeuille offensif ?,chat
J'aimerais comprendre ce qu'est un portefeuille offensif,chat
C'est quoi un portefeuille offensif ?,chat
Comment définir un portefeuille offensif ?,chat
Tu peux m'expliquer la notion de portefeuille offensif ?,chat
Peux-tu expliquer ce qu'est un screener d’actions ?,chat
J'aimerais comprendre ce qu'est un screener d’actions,chat
C'est quoi un screener d’actions ?,chat
Comment définir un screener d’actions ?,chat
Tu peux m'expliquer la notion de screener d’actions ?,chat
Peux-tu expliquer ce qu'est un ratio de Sharpe ?,chat
J'aimerais comprendre ce qu'est un ratio de Sharpe,chat
C'est quoi un ratio de Sharpe ?,chat
Comment définir un ratio de Sharpe ?,chat
Tu peux m'expliquer la notion de ratio de Sharpe ?,chat
Peux-tu expliquer ce qu'est un bêta ?,chat
J'aimerais comprendre ce qu'est un bêta,chat
C'est quoi un bêta ?,chat
Comment définir un bêta ?,chat
Tu peux m'expliquer la notion de bêta ?,chat
Peux-tu expliquer ce qu'est un volatilité ?,chat
J'aimerais comprendre ce qu'est un volatilité,chat
C'est quoi un volatilité ?,chat
Comment définir un volatilité ?,chat
Tu peux m'expliquer la notion de volatilité ?,chat
Peux-tu expliquer ce qu'est un drawdown ?,chat
J'aimerais comprendre ce qu'est un drawdown,chat
C'est quoi un drawdown ?,chat
Comment définir un drawdown ?,chat
Tu peux m'expliquer la notion de drawdown ?,chat
Peux-tu expliquer ce qu'est un diversification ?,chat
J'aimerais comprendre ce qu'est un diversification,chat
C'est quoi un diversification ?,chat
Comment définir un diversification ?,chat
Tu peux m'expliquer la notion de diversification ?,chat
Peux-tu expliquer ce qu'est un comparaison d'actions ?,chat
J'aimerais comprendre ce qu'est un comparaison d'actions,chat
C'est quoi un comparaison d'actions ?,chat
Comment définir un comparaison d'actions ?,chat
Tu peux m'expliquer la notion de comparaison d'actions ?,chat
Donne-moi le Sharpe ratio de Microsoft,stats
Quel est le ratio de Sharpe de Nvidia ?,stats
Je veux la volatilité de Tesla sur 6 mois,stats
Je veux les stats de TotalEnergies sur 1 an,stats
Donne-moi les indicateurs de Air Liquide sur 6 mois,stats
Quel est le cours de TotalEnergies ?,price
Quel est le cours de Air Liquide ?,price
TotalEnergies vaut combien en bourse ?,price
Air Liquide ça cote combien ?,price
Donne-moi le prix actuel de Microsoft,price
Combien vaut Nvidia en ce moment ?,price
Compare Microsoft et Nvidia sur 1 an,compare
AAPL ou MSFT sur 6 mois ?,compare
Lequel performe mieux entre Apple et Microsoft ?,compare
Compare TotalEnergies et Shell sur 1 an,compare
Microsoft est-elle intéressante à long terme ?,chat
Tu penses quoi de Nvidia pour investir ?,chat
Est-ce que TotalEnergies est une bonne action ?,chat
Air Liquide vaut le coup pour du long terme ?,chat
Donne-moi le Sharpe ratio de GOOGL,stats
Quel est le ratio de Sharpe de GOOGL ?,stats
Je veux le Sharpe ratio de Microsoft,stats
Peux-tu me donner le Sharpe ratio de Nvidia ?,stats
Quel est le Sharpe ratio de Tesla sur 1 an ?,stats
Montre-moi le Sharpe ratio de Apple sur 6 mois,stats
Affiche les indicateurs de Tesla sur 6 mois,stats
Montre-moi les statistiques de GOOGL sur 6 mois,stats
Je veux les statistiques de Microsoft sur 1 an,stats
Donne-moi les stats de Nvidia sur 1 an,stats
Quels sont les indicateurs de Apple sur 6 mois ?,stats
Je veux les métriques de Tesla sur 1 an,stats
Affiche les métriques de Nvidia sur 6 mois,stats
Donne-moi la performance de Microsoft sur 1 an,stats
Je veux la performance de Nvidia sur 1y,stats
Performance de GOOGL sur 6 mois,stats
Performance de Tesla sur 1 an,stats
Quel est le rendement de Microsoft sur 1 an ?,stats
Montre-moi le rendement de Nvidia sur 6 mois,stats
Affiche la volatilité de Nvidia sur 1 an,stats
Quel est le bêta de Microsoft ?,stats
Donne-moi le bêta de Tesla sur 1 an,stats
Je veux le drawdown de Nvidia sur 5 ans,stats
Montre-moi le drawdown de Microsoft sur 1 an,stats
Quel est le ratio de Sortino de Apple ?,stats
Affiche les indicateurs de Air Liquide sur 6 mois,stats
Montre-moi les statistiques de ASML sur 1 an,stats
Tesla ça cote combien en ce moment ?,price
Hermès vaut combien en bourse ?,price
Combien vaut TotalEnergies en ce moment ?,price
Air Liquide vaut combien aujourd'hui ?,price
Donne-moi la valeur actuelle de Microsoft,price
Je veux le cours actuel de Nvidia,price
Quel est le dernier cours de Tesla ?,price
Montre-moi le prix actuel de Apple,price
Combien cote GOOGL aujourd'hui ?,price
Quel est le cours de Hermès ?,price
Prix actuel de ASML,price
Valeur actuelle de TotalEnergies,price
Valeur actuelle de Air Liquide,price
Je veux le prix de Microsoft maintenant,price
Nvidia vaut combien actuellement ?,price
"Hermès ou LVMH, lequel est le plus performant sur 1 an ?",compare
Compare Microsoft et Tesla sur 6 mois,compare
Compare ASML et Nvidia sur 1 an,compare
AAPL vs MSFT sur 6 mois,compare
Microsoft ou Nvidia sur 1 an ?,compare
"Entre Tesla et Apple, qui a le mieux performé sur 1 an ?",compare
Qui a le meilleur rendement entre Hermès et LVMH sur 1 an ?,compare
Compare TotalEnergies et Air Liquide sur 1 an,compare
GOOGL ou Microsoft sur 6 mois ?,compare
Compare la performance de Tesla et Nvidia sur 1 an,compare
ASML vs Nvidia sur 6 mois,compare
"Apple ou Microsoft, lequel est le plus performant sur 6 mois ?",compare
Compare Hermès et ASML sur 1 an,compare
"Entre AAPL et MSFT, lequel a le mieux performé ?",compare
Compare Microsoft et GOOGL sur 1 an,compare
Trouve-moi des actions à faible bêta,screener
Je cherche des actions américaines peu volatiles,screener
Montre-moi des valeurs santé avec dividendes,screener
Je veux des actions avec bon rendement et faible risque,screener
Trouve-moi des ETF américains à faible risque,screener
Montre-moi des actions défensives avec faible volatilité,screener
Je cherche des actions européennes avec dividendes,screener
Trouve-moi des actions à bon Sharpe ratio,screener
Je veux des actions peu risquées avec bon rendement,screener
Trouve-moi des ETF US défensifs,screener
Je veux des actions de santé à dividendes,screener
Montre-moi des actions low volatility,screener
Trouve-moi des actions à faible drawdown,screener
Je cherche des actions value avec faible volatilité,screener
Comment fonctionne un screener d'actions ?,chat
Peux-tu m'expliquer comment comparer deux actions sans regarder seulement le prix ?,chat
Est-ce que Microsoft vaut le coup sur le long terme ?,chat
Tu penses quoi de Microsoft pour du long terme ?,chat
Est-ce que Nvidia est une bonne action à garder ?,chat
Hermès est-elle une bonne action à long terme ?,chat
Comment savoir si une action vaut le coup ?,chat
Qu'est-ce qu'un portefeuille défensif ?,chat
Explique-moi comment comparer deux actions,chat
Quels critères regarder pour comparer deux actions ?,chat
Peux-tu m'expliquer ce qu'est un screener d'actions ?,chat
Est-ce risqué d'investir dans Tesla maintenant ?,chat
Tu penses quoi de ASML pour investir ?,chat
Comment analyser une action sans se limiter au prix ?,chat
Je veux un portefeuille d'actions avec Airbus et LVMH en Europe,screener
Construis un portefeuille similaire a Apple et Microsoft aux Etats-Unis,screener
Portefeuille inspire de Nvidia et AMD dans les semi-conducteurs,screener
Je veux investir dans un univers proche de Tesla et Google aux USA,screener
Trouve des actions similaires a Airbus dans l'aeronautique europeenne,screener
Je cherche des entreprises comme LVMH dans le luxe europeen,screener
Actions comparables a ASML dans les semi-conducteurs europeens,screener
Peux-tu me proposer des actions comme Airbus avec faible volatilite,screener
Donne-moi des valeurs similaires a LVMH avec croissance elevee,screener
Je cherche des actions dans le meme style que Nvidia aux Etats-Unis,screener
Trouve des actions tech US avec dividende eleve,screener
Je cherche des actions Europe avec faible volatilite,screener
Portefeuille sans energie en Europe,screener
Actions tech avec croissance elevee aux USA,screener
Filtre des actions sante monde hors USA,screener
Screener actions industrielles Europe avec rendement eleve,screener
Univers d'actions defensives en Europe hors banques,screener
Je veux un portefeuille d'actions luxe Europe avec faible beta,screener
Cherche des actions cloud US avec croissance elevee,screener
Trouve des valeurs industrielles Europe sans energie,screener
Actions japonaises automobile avec faible volatilite,screener
Portefeuille actions monde avec dividende eleve hors tabac,screener
Donne-moi des actions sante US sans biotech,screener
Je veux des entreprises similaires a Hermes dans le luxe europeen,screener
Univers proche de Microsoft dans le cloud US,screener
Portefeuille inspire de LVMH et Hermes dans le luxe europeen,screener
Peux-tu filtrer des actions IA US avec forte croissance,screener
Trouve des actions comparables a SAP dans les logiciels europeens,screener
Je cherche des actions defense Europe avec rendement eleve,screener
Actions monde qualite avec faible drawdown,screener
Portefeuille d'actions semi-conducteurs Asie hors Chine,screener
Trouve des actions value Europe avec faible beta,screener
Je veux des actions bancaires europeennes avec dividende eleve,screener
Donne-moi un univers d'actions sante en Europe sans pharma,screener
Actions americaines cybersecurite avec croissance elevee,screener
Construis un portefeuille proche d'Airbus et Safran dans l'aeronautique Europe,screener
Je cherche des actions,chat
Trouve des actions,chat
Donne-moi des actions,chat
Actions a acheter,chat
Je veux investir,chat
Tu me proposes quoi en actions ?,chat
J'aimerais investir,chat
Montre-moi des opportunites,chat
Je veux des actions interessantes,chat
Quelles actions acheter ?,chat
Je cherche un bon investissement,chat
Propose-moi des valeurs,chat
Des actions pour investir,chat
Tu as des actions a me conseiller ?,chat
Je veux placer mon argent,chat
Je veux investir en bourse,chat
Trouve-moi un investissement,chat
Quoi acheter en bourse ?,chat
Airbus ou Boeing sur 1 an,compare
Entre Apple et Tesla lequel est le plus performant ?,compare
LVMH vs Hermes,compare
Nvidia ou AMD lequel est le meilleur investissement ?,compare
Compare Schneider Electric et Legrand,compare
Compare Airbus et Safran sur 6 mois,compare
Entre ASML et TSMC sur 1 an,compare
Microsoft ou Google lequel est le moins volatil ?,compare
Compare Sanofi et Novo Nordisk,compare
Hermes contre LVMH sur 1 an,compare
Compare BNP Paribas et Santander,compare
Entre TotalEnergies et Shell lequel a le meilleur rendement ?,compare
Air Liquide vs Linde,compare
Compare Dassault Systemes et SAP sur 6 mois,compare
Boeing versus Airbus,compare
Entre Nvidia et Broadcom lequel performe le mieux ?,compare
Compare Meta et Netflix sur 1 an,compare
AMD vs Intel sur 6 mois,compare
